rbt_id,lane,seq,x,y
RBT02,0,84,3038.973,1750.767
RBT02,0,85,3054.252,1746.853
RBT02,0,86,3069.717,1743.75
RBT02,0,87,3085.323,1741.468
RBT02,0,88,3101.028,1740.013
RBT02,0,89,3116.788,1739.388
RBT02,0,90,3132.559,1739.596
RBT02,0,91,3148.298,1740.637
RBT02,0,92,3163.959,1742.506
RBT02,0,93,3179.5,1745.199
RBT02,0,94,3194.877,1748.709
RBT02,0,95,3210.047,1753.025
RBT02,0,96,3224.968,1758.136
RBT02,0,97,3239.599,1764.027
RBT02,0,98,3253.899,1770.683
RBT02,0,99,3267.827,1778.083
RBT02,0,100,3281.346,1786.209
RBT02,0,101,3294.417,1795.036
RBT02,0,102,3307.003,1804.541
RBT02,0,103,3319.071,1814.697
RBT02,0,104,3330.586,1825.476
RBT02,0,105,3341.515,1836.848
RBT02,0,106,3351.83,1848.78
RBT02,0,107,3361.5,1861.24
RBT02,0,108,3370.5,1874.193
RBT02,0,109,3378.803,1887.603
RBT02,0,110,3386.387,1901.433
RBT02,0,111,3393.23,1915.643
RBT02,0,112,3399.314,1930.195
RBT02,0,113,3404.621,1945.048
RBT02,0,114,3409.138,1960.16
RBT02,0,115,3412.85,1975.489
RBT02,0,116,3415.748,1990.993
RBT02,0,117,3417.824,2006.628
RBT02,0,118,3419.072,2022.352
RBT02,0,119,3419.488,2038.118
RBT03,0,0,587.5,1841.747
RBT03,0,1,587.117,1856.26
RBT03,0,2,585.968,1870.733
RBT03,0,3,584.057,1885.125
RBT03,0,4,581.39,1899.396
RBT03,0,5,577.972,1913.506
RBT03,0,6,573.815,1927.417
RBT03,0,7,568.93,1941.088
RBT03,0,8,563.33,1954.483
RBT03,0,9,557.03,1967.564
RBT03,0,10,550.05,1980.293
RBT03,0,11,542.407,1992.637
RBT03,0,12,534.123,2004.56
RBT03,0,13,525.222,2016.03
RBT03,0,14,515.727,2027.013
RBT03,0,15,505.667,2037.48
RBT03,0,16,495.068,2047.402
RBT03,0,17,483.96,2056.75
RBT03,0,18,472.374,2065.5
RBT03,0,19,460.342,2073.625
RBT03,0,20,447.899,2081.105
RBT03,0,21,435.078,2087.917
RBT03,0,22,421.916,2094.043
RBT03,0,23,408.448,2099.466
RBT03,0,24,394.713,2104.17
RBT03,0,25,380.749,2108.143
RBT03,0,26,366.595,2111.374
RBT03,0,27,352.29,2113.853
RBT03,0,28,337.874,2115.574
RBT03,0,29,323.387,2116.531
RBT03,0,30,308.87,2116.723
RBT03,0,31,294.363,2116.148
RBT03,0,32,279.907,2114.809
RBT03,0,33,265.541,2112.708
RBT03,0,34,251.307,2109.852
RBT03,0,35,237.243,2106.249
RBT03,0,36,223.388,2101.909
RBT03,0,37,209.782,2096.843
RBT03,0,38,196.463,2091.067
RBT03,0,39,183.467,2084.595
RBT03,0,40,170.83,2077.447
RBT03,0,41,158.588,2069.642
RBT03,0,42,146.775,2061.202
RBT03,0,43,135.425,2052.15
RBT03,0,44,124.567,2042.511
RBT03,0,45,114.234,2032.313
RBT03,0,46,104.453,2021.584
RBT03,0,47,95.252,2010.354
RBT03,0,48,86.656,1998.653
RBT03,0,49,78.69,1986.516
RBT03,0,50,71.376,1973.975
RBT03,0,51,64.734,1961.065
RBT03,0,52,58.782,1947.823
RBT03,0,53,53.537,1934.285
RBT03,0,54,49.014,1920.489
RBT03,0,55,45.226,1906.474
RBT03,0,56,42.182,1892.278
RBT03,0,57,39.892,1877.941
RBT03,0,58,38.362,1863.504
RBT03,0,59,37.596,1849.006
RBT03,0,60,37.596,1834.488
RBT03,0,61,38.362,1819.99
RBT03,0,62,39.892,1805.552
RBT03,0,63,42.182,1791.216
RBT03,0,64,45.226,1777.02
RBT03,0,65,49.014,1763.005
RBT03,0,66,53.537,1749.209
RBT03,0,67,58.782,1735.671
RBT03,0,68,64.734,1722.429
RBT03,0,69,71.376,1709.519
RBT03,0,70,78.69,1696.978
RBT03,0,71,86.656,1684.84
RBT03,0,72,95.252,1673.14
RBT03,0,73,104.453,1661.91
RBT03,0,74,114.234,1651.181
RBT03,0,75,124.567,1640.983
RBT03,0,76,135.425,1631.344
RBT03,0,77,146.775,1622.292
RBT03,0,78,158.588,1613.852
RBT03,0,79,170.83,1606.047
RBT03,0,80,183.467,1598.898
RBT03,0,81,196.463,1592.427
RBT03,0,82,209.782,1586.651
RBT03,0,83,223.388,1581.585
RBT03,0,84,237.243,1577.245
RBT03,0,85,251.307,1573.642
RBT03,0,86,265.541,1570.786
RBT03,0,87,279.907,1568.685
RBT03,0,88,294.363,1567.346
RBT03,0,89,308.87,1566.771
RBT03,0,90,323.387,1566.962
RBT03,0,91,337.874,1567.92
RBT03,0,92,352.29,1569.641
RBT03,0,93,366.595,1572.12
RBT03,0,94,380.749,1575.35
RBT03,0,95,394.713,1579.323
RBT03,0,96,408.448,1584.028
RBT03,0,97,421.916,1589.451
RBT03,0,98,435.078,1595.577
RBT03,0,99,447.899,1602.389
RBT03,0,100,460.342,1609.868
RBT03,0,101,472.374,1617.994
RBT03,0,102,483.96,1626.743
RBT03,0,103,495.068,1636.092
RBT03,0,104,505.667,1646.013
RBT03,0,105,515.727,1656.481
RBT03,0,106,525.222,1667.464
RBT03,0,107,534.123,1678.933
RBT03,0,108,542.407,1690.857
RBT03,0,109,550.05,1703.2
RBT03,0,110,557.03,1715.93
RBT03,0,111,563.33,1729.011
RBT03,0,112,568.93,1742.405
RBT03,0,113,573.815,1756.077
RBT03,0,114,577.972,1769.987
RBT03,0,115,581.39,1784.098
RBT03,0,116,584.057,1798.369
RBT03,0,117,585.968,1812.761
RBT03,0,118,587.117,1827.234
