pair,alt,seq,x,y,risk,conflict
DB02_to_DK06#alt0,0,12,2400.0,950.0,0.17,0.0
DB02_to_DK06#alt0,0,13,2450.0,900.0,0.17,0.0
DB02_to_DK06#alt0,0,14,2500.0,850.0,0.17,0.0
DB02_to_DK06#alt0,0,15,2550.0,900.0,0.2151,0.0
DB02_to_DK06#alt0,0,16,2600.0,900.0,0.2384,0.0
DB02_to_DK06#alt0,0,17,2650.0,900.0,0.2609,0.0
DB02_to_DK06#alt0,0,18,2700.0,950.0,0.3269,0.0
DB02_to_DK06#alt0,0,19,2750.0,950.0,0.3485,0.0
DB02_to_DK06#alt0,0,20,2800.0,900.0,0.3077,0.0
DB02_to_DK06#alt0,0,21,2850.0,900.0,0.3114,0.0
DB02_to_DK06#alt0,0,22,2900.0,850.0,0.2636,0.0
DB02_to_DK06#alt0,0,23,2950.0,900.0,0.3077,0.0
DB02_to_DK06#alt0,0,24,3000.0,950.0,0.3485,0.0
DB02_to_DK06#alt0,0,25,3050.0,900.0,0.281,0.0
DB02_to_DK06#alt0,0,26,3100.0,900.0,0.2609,0.0
DB02_to_DK06#alt0,0,27,3150.0,900.0,0.2431,0.0
DB02_to_DK06#alt0,0,28,3200.0,950.0,0.2431,0.0
DB02_to_DK06#alt0,0,29,3250.0,1000.0,0.2431,0.0
DB02_to_DK06#alt0,0,30,3300.0,950.0,0.3077,0.0
DB02_to_DK06#alt0,0,31,3350.0,1000.0,0.3006,0.0
DB02_to_DK06#alt0,0,32,3400.0,1050.0,0.281,0.0
DB02_to_DK06#alt0,0,33,3450.0,1100.0,0.2609,0.0
DB02_to_DK06#alt0,0,34,3500.0,1150.0,0.2407,0.0
DB02_to_DK06#alt0,0,35,3550.0,1200.0,0.2151,0.0
DB02_to_DK06#alt0,0,36,3600.0,1200.0,0.2211,0.0
DB02_to_DK06#alt1,1,0,1800.0,1100.0,0.1183,0.0
DB02_to_DK06#alt1,1,1,1850.0,1050.0,0.0936,0.0
DB02_to_DK06#alt1,1,2,1900.0,1000.0,0.074,0.0
DB02_to_DK06#alt1,1,3,1950.0,950.0,0.0677,0.0
DB02_to_DK06#alt1,1,4,2000.0,900.0,0.0612,0.0
DB02_to_DK06#alt1,1,5,2050.0,850.0,0.0544,0.0
DB02_to_DK06#alt1,1,6,2100.0,800.0,0.0568,0.0
DB02_to_DK06#alt1,1,7,2150.0,800.0,0.065,0.0
DB02_to_DK06#alt1,1,8,2200.0,800.0,0.074,0.0
DB02_to_DK06#alt1,1,9,2250.0,750.0,0.0748,0.0
DB02_to_DK06#alt1,1,10,2300.0,750.0,0.0839,0.0
DB02_to_DK06#alt1,1,11,2350.0,750.0,0.0947,0.0
DB02_to_DK06#alt1,1,12,2400.0,800.0,0.1199,0.0
DB02_to_DK06#alt1,1,13,2450.0,750.0,0.1183,0.0
DB02_to_DK06#alt1,1,14,2500.0,750.0,0.1308,0.0
DB02_to_DK06#alt1,1,15,2550.0,750.0,0.1432,0.0
DB02_to_DK06#alt1,1,16,2600.0,700.0,0.1335,0.0
DB02_to_DK06#alt1,1,17,2650.0,650.0,0.1215,0.0
DB02_to_DK06#alt1,1,18,2700.0,600.0,0.1422,0.0
DB02_to_DK06#alt1,1,19,2750.0,550.0,0.1755,0.0
DB02_to_DK06#alt1,1,20,2800.0,600.0,0.1937,0.0
DB02_to_DK06#alt1,1,21,2850.0,650.0,0.2076,0.0
DB02_to_DK06#alt1,1,22,2900.0,650.0,0.2384,0.0
DB02_to_DK06#alt1,1,23,2950.0,700.0,0.2431,0.0
DB02_to_DK06#alt1,1,24,3000.0,700.0,0.2721,0.0
DB02_to_DK06#alt1,1,25,3050.0,700.0,0.3077,0.0
DB02_to_DK06#alt1,1,26,3100.0,750.0,0.3077,0.0
DB02_to_DK06#alt1,1,27,3150.0,800.0,0.3077,0.0
DB02_to_DK06#alt1,1,28,3200.0,850.0,0.3077,0.0
DB02_to_DK06#alt1,1,29,3250.0,850.0,0.344,0.0
DB02_to_DK06#alt1,1,30,3300.0,900.0,0.344,0.0
DB02_to_DK06#alt1,1,31,3350.0,950.0,0.344,0.0
DB02_to_DK06#alt1,1,32,3400.0,1000.0,0.3269,0.0
DB02_to_DK06#alt1,1,33,3450.0,1050.0,0.3006,0.0
DB02_to_DK06#alt1,1,34,3500.0,1100.0,0.281,0.0
DB02_to_DK06#alt1,1,35,3550.0,1150.0,0.253,0.0
DB02_to_DK06#alt1,1,36,3600.0,1200.0,0.2211,0.0
DB02_to_DK06#alt2,2,0,1800.0,1100.0,0.1183,0.0
DB02_to_DK06#alt2,2,1,1750.0,1050.0,0.1138,0.0
DB02_to_DK06#alt2,2,2,1700.0,1000.0,0.1069,0.0
DB02_to_DK06#alt2,2,3,1650.0,950.0,0.0981,0.0
DB02_to_DK06#alt2,2,4,1700.0,900.0,0.079,0.0
DB02_to_DK06#alt2,2,5,1750.0,850.0,0.0634,0.0
DB02_to_DK06#alt2,2,6,1800.0,800.0,0.0507,0.0
DB02_to_DK06#alt2,2,7,1800.0,750.0,0.0437,0.0
DB02_to_DK06#alt2,2,8,1800.0,700.0,0.0375,0.0
DB02_to_DK06#alt2,2,9,1850.0,650.0,0.0301,0.0
DB02_to_DK06#alt2,2,10,1900.0,600.0,0.0241,0.0
DB02_to_DK06#alt2,2,11,1950.0,550.0,0.0229,0.0
DB02_to_DK06#alt2,2,12,2000.0,500.0,0.023,0.0
DB02_to_DK06#alt2,2,13,1950.0,450.0,0.0182,0.0
DB02_to_DK06#alt2,2,14,2000.0,400.0,0.0182,0.0
DB02_to_DK06#alt2,2,15,2000.0,350.0,0.0161,0.0
DB02_to_DK06#alt2,2,16,2050.0,300.0,0.0183,0.0
DB02_to_DK06#alt2,2,17,2100.0,250.0,0.0216,0.0
DB02_to_DK06#alt2,2,18,2150.0,200.0,0.0252,0.0
DB02_to_DK06#alt2,2,19,2200.0,150.0,0.0291,0.0
DB02_to_DK06#alt2,2,20,2250.0,100.0,0.0334,0.0
DB02_to_DK06#alt2,2,21,2300.0,50.0,0.0378,0.0
DB02_to_DK06#alt2,2,22,2350.0,50.0,0.0444,0.0
DB02_to_DK06#alt2,2,23,2400.0,100.0,0.0544,0.0
DB02_to_DK06#alt2,2,24,2450.0,150.0,0.0663,0.0
DB02_to_DK06#alt2,2,25,2500.0,200.0,0.0803,0.0
DB02_to_DK06#alt2,2,26,2550.0,250.0,0.0964,0.0
DB02_to_DK06#alt2,2,27,2600.0,250.0,0.1138,0.0
DB02_to_DK06#alt2,2,28,2650.0,250.0,0.1344,0.0
DB02_to_DK06#alt2,2,29,2700.0,300.0,0.1599,0.0
DB02_to_DK06#alt2,2,30,2750.0,300.0,0.1889,0.0
DB02_to_DK06#alt2,2,31,2800.0,300.0,0.2231,0.0
DB02_to_DK06#alt2,2,32,2850.0,300.0,0.2636,0.0
DB02_to_DK06#alt2,2,33,2900.0,350.0,0.3114,0.0
DB02_to_DK06#alt2,2,34,2950.0,350.0,0.3679,0.0
DB02_to_DK06#alt2,2,35,3000.0,350.0,0.4346,0.0
DB02_to_DK06#alt2,2,36,3050.0,350.0,0.5134,0.0
