route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,66,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,67,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,68,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,69,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,70,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,71,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,72,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,73,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,74,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,75,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,76,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,77,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,78,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,79,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
