route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,60,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,61,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,62,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,63,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,64,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,65,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,66,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,67,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,68,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,69,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,70,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,71,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,72,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,73,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,74,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,75,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,76,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,77,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,78,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,79,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
