route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,53,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,54,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,55,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,56,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,57,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,58,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,59,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,60,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,61,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,62,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,63,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,64,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,65,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,66,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,67,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,68,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,69,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,70,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,71,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,72,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,73,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,74,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,75,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
