route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,57,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,58,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,59,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,60,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,61,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,62,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,63,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,64,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,65,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,66,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,67,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,68,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,69,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,70,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,71,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,72,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,73,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,74,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,75,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,76,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,77,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,78,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,79,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
