node_id,x,y,z,slowness,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix,is_candidate,candidate_type,candidate_id,route_hit_count
4927,3950.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
4928,4000.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
4929,4050.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
4930,4100.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
4931,4150.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
4932,4200.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,7
4933,4250.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,True,minor,TN20,7
4934,4300.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
4935,4350.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
4936,4400.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
4937,4450.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
4938,4500.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
4939,4550.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
4940,4600.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
4941,4650.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
4942,4700.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
4943,4750.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,7
4944,4800.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,7
4945,4850.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,9
4946,4900.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,7
4947,4950.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,7
4948,5000.0,2400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
4949,0.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
4950,50.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
4951,100.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
4952,150.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
4953,200.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
4954,250.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
4955,300.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
4956,350.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
4957,400.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
4958,450.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
4959,500.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
4960,550.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
4961,600.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
4962,650.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
4963,700.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
