leg_id,lane,seq,x,y
BAK01__BAK02,A,71,4575.0,2410.0
BAK01__BAK02,A,72,4575.0,2420.0
BAK01__BAK02,A,73,4575.0,2430.0
BAK01__BAK02,A,74,4575.0,2440.0
BAK01__BAK02,A,75,4575.0,2450.0
BAK01__BAK02,A,76,4575.0,2460.0
BAK01__BAK02,A,77,4575.0,2470.0
BAK01__BAK02,A,78,4575.0,2480.0
BAK01__BAK02,A,79,4575.0,2490.0
BAK01__BAK02,A,80,4575.0,2500.0
BAK01__BAK02,B,0,4625.0,1700.0
BAK01__BAK02,B,1,4625.0,1710.0
BAK01__BAK02,B,2,4625.0,1720.0
BAK01__BAK02,B,3,4625.0,1730.0
BAK01__BAK02,B,4,4625.0,1740.0
BAK01__BAK02,B,5,4625.0,1750.0
BAK01__BAK02,B,6,4625.0,1760.0
BAK01__BAK02,B,7,4625.0,1770.0
BAK01__BAK02,B,8,4625.0,1780.0
BAK01__BAK02,B,9,4625.0,1790.0
BAK01__BAK02,B,10,4625.0,1800.0
BAK01__BAK02,B,11,4625.0,1810.0
BAK01__BAK02,B,12,4625.0,1820.0
BAK01__BAK02,B,13,4625.0,1830.0
BAK01__BAK02,B,14,4625.0,1840.0
BAK01__BAK02,B,15,4625.0,1850.0
BAK01__BAK02,B,16,4625.0,1860.0
BAK01__BAK02,B,17,4625.0,1870.0
BAK01__BAK02,B,18,4625.0,1880.0
BAK01__BAK02,B,19,4625.0,1890.0
BAK01__BAK02,B,20,4625.0,1900.0
BAK01__BAK02,B,21,4625.0,1910.0
BAK01__BAK02,B,22,4625.0,1920.0
BAK01__BAK02,B,23,4625.0,1930.0
BAK01__BAK02,B,24,4625.0,1940.0
BAK01__BAK02,B,25,4625.0,1950.0
BAK01__BAK02,B,26,4625.0,1960.0
BAK01__BAK02,B,27,4625.0,1970.0
BAK01__BAK02,B,28,4625.0,1980.0
BAK01__BAK02,B,29,4625.0,1990.0
BAK01__BAK02,B,30,4625.0,2000.0
BAK01__BAK02,B,31,4625.0,2010.0
BAK01__BAK02,B,32,4625.0,2020.0
BAK01__BAK02,B,33,4625.0,2030.0
BAK01__BAK02,B,34,4625.0,2040.0
BAK01__BAK02,B,35,4625.0,2050.0
BAK01__BAK02,B,36,4625.0,2060.0
BAK01__BAK02,B,37,4625.0,2070.0
BAK01__BAK02,B,38,4625.0,2080.0
BAK01__BAK02,B,39,4625.0,2090.0
BAK01__BAK02,B,40,4625.0,2100.0
BAK01__BAK02,B,41,4625.0,2110.0
BAK01__BAK02,B,42,4625.0,2120.0
BAK01__BAK02,B,43,4625.0,2130.0
BAK01__BAK02,B,44,4625.0,2140.0
BAK01__BAK02,B,45,4625.0,2150.0
BAK01__BAK02,B,46,4625.0,2160.0
BAK01__BAK02,B,47,4625.0,2170.0
BAK01__BAK02,B,48,4625.0,2180.0
BAK01__BAK02,B,49,4625.0,2190.0
BAK01__BAK02,B,50,4625.0,2200.0
BAK01__BAK02,B,51,4625.0,2210.0
BAK01__BAK02,B,52,4625.0,2220.0
BAK01__BAK02,B,53,4625.0,2230.0
BAK01__BAK02,B,54,4625.0,2240.0
BAK01__BAK02,B,55,4625.0,2250.0
BAK01__BAK02,B,56,4625.0,2260.0
BAK01__BAK02,B,57,4625.0,2270.0
BAK01__BAK02,B,58,4625.0,2280.0
BAK01__BAK02,B,59,4625.0,2290.0
BAK01__BAK02,B,60,4625.0,2300.0
BAK01__BAK02,B,61,4625.0,2310.0
BAK01__BAK02,B,62,4625.0,2320.0
BAK01__BAK02,B,63,4625.0,2330.0
BAK01__BAK02,B,64,4625.0,2340.0
BAK01__BAK02,B,65,4625.0,2350.0
BAK01__BAK02,B,66,4625.0,2360.0
BAK01__BAK02,B,67,4625.0,2370.0
BAK01__BAK02,B,68,4625.0,2380.0
BAK01__BAK02,B,69,4625.0,2390.0
BAK01__BAK02,B,70,4625.0,2400.0
BAK01__BAK02,B,71,4625.0,2410.0
