t_s,agent_a,agent_b,gap_m,x,y,res_a,res_b,flight_level
5100.0,382,406,37.71,2135.4,613.3,DB02__RBT02#A,DB02__TN8#A,5
5120.0,200,124,40.12,808.2,4200.8,DB01__TN7#B,DB01__TN2#B,3
5260.0,360,274,34.09,715.4,4208.8,DB01__TN1#A,DB01__RN3#A,2
5280.0,360,274,26.81,703.9,4228.7,DB01__TN1#A,DB01__RN3#A,2
5300.0,360,274,15.61,691.3,4249.2,DB01__TN1#A,DB01__RN3#A,2
5320.0,360,274,4.72,670.6,4265.9,DB01__TN1#A,DB01__RN3#A,2
5340.0,360,274,16.91,647.2,4298.6,DB01__TN1#A,DB01__RN3#A,2
5360.0,296,272,32.57,746.0,4224.6,DB01__TN7#A,DB01__TN2#A,0
5380.0,296,272,27.52,759.7,4236.0,DB01__TN7#A,DB01__TN2#A,0
5400.0,296,272,20.33,777.6,4252.3,DB01__TN7#A,DB01__TN2#A,0
5420.0,296,272,33.62,796.3,4269.9,DB01__TN7#A,DB01__TN2#A,0
5560.0,218,242,45.21,3653.4,3002.4,RBT14#RING,RBT13__RBT14#A,0
5660.0,396,151,29.67,156.7,2261.4,TN16__RBT10#A,RBT10#RING,1
5900.0,228,318,15.5,363.9,2961.3,RBT11__RBT16#B,RBT11#RING,4
5900.0,260,280,49.79,2923.1,2240.6,RBT08#RING,RBT03__RBT08#A,1
5980.0,396,175,41.25,232.0,2442.1,RBT10#RING,RBT10__RBT11#A,1
5980.0,292,314,47.12,759.3,4249.8,DB01__TN2#A,DB01__TN7#A,0
6380.0,296,187,44.74,1569.5,2966.1,RBT12#RING,RBT07__RBT12#B,4
6460.0,366,368,35.15,747.4,4225.1,DB01__TN7#A,DB01__TN2#A,0
6480.0,366,368,18.92,765.2,4241.9,DB01__TN7#A,DB01__TN2#A,0
6500.0,366,368,21.78,783.1,4258.2,DB01__TN7#A,DB01__TN2#A,0
6520.0,366,368,43.43,802.5,4276.9,DB01__TN7#A,DB01__TN2#A,0
6800.0,454,302,49.61,2630.0,412.5,DB02__RBT02#A,DB02__TN8#A,5
7240.0,326,478,43.99,2260.6,563.7,DB02__TN8#A,DB02__RBT02#A,5
7260.0,326,478,32.36,2387.5,510.6,DB02__TN8#A,DB02__RBT02#A,5
7280.0,95,502,38.32,2121.4,620.5,DB02__TN8#A,DB02__RBT02#A,5
7300.0,95,502,43.95,2182.9,595.5,DB02__TN8#A,DB02__RBT02#A,5
7380.0,420,444,44.94,152.8,3243.0,RBT10__RBT16#A,RBT11__RBT16#A,1
7420.0,308,328,39.19,2021.0,1423.9,RBT04#RING,DB02__RBT04#A,1
7480.0,328,330,48.89,1980.6,1444.4,DB02__RBT04#A,RBT04#RING,1
7500.0,328,330,7.24,2004.6,1429.9,DB02__RBT04#A,RBT04#RING,1
7560.0,390,394,44.65,347.7,2963.8,RBT11#RING,RBT11__RBT16#B,4
7580.0,354,356,30.83,1707.2,1188.0,TN5__RBT06#A,DB02__TN5#A,2
7720.0,161,183,15.5,2068.9,1622.8,DK05__RBT04#A,RBT04#RING,4
7920.0,208,161,22.2,2065.7,1623.7,DK05__RBT04#A,RBT04#RING,4
7920.0,234,161,37.9,2036.2,1627.3,RBT04__RBT07#B,RBT04#RING,4
7940.0,149,219,47.3,808.1,4215.9,DB01__TN7#B,DB01__TN2#B,3
7960.0,149,219,25.4,791.7,4200.1,DB01__TN7#B,DB01__TN2#B,3
7980.0,149,219,9.9,773.7,4183.6,DB01__TN7#B,DB01__TN2#B,3
8040.0,208,234,30.16,2032.3,1627.9,RBT04#RING,RBT04__RBT07#B,4
8100.0,208,234,29.95,2050.8,1411.7,RBT04#RING,DB02__RBT04#B,4
