node_id,x,y,z,slowness,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix,is_candidate,candidate_type,candidate_id,route_hit_count
8835,2400.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,7
8836,2450.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
8837,2500.0,4350.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
8838,2550.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
8839,2600.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
8840,2650.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
8841,2700.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,7
8842,2750.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,7
8843,2800.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
8844,2850.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
8845,2900.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
8846,2950.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
8847,3000.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8848,3050.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8849,3100.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8850,3150.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8851,3200.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
8852,3250.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
