route_id,pair,route_key,direction,route_type,route_rank,route_length_m,n_nodes,n_clusters_touched,cluster_sequence,cluster_coverage_sequence
DB02_to_DK02_backward_backup_02,DB02_to_DK02,backward_backup_02,backward,backup,2,6921.930009000631,115,2,0;1,0:0.296;1:0.043
DB02_to_DK02_backward_main_01,DB02_to_DK02,backward_main_01,backward,main,1,5897.665940288703,97,2,0;1,0:0.711;1:0.041
DB02_to_DK02_backward_main_02,DB02_to_DK02,backward_main_02,backward,main,2,6439.087296526012,107,2,0;1,0:0.486;1:0.037
DB02_to_DK02_backward_main_04,DB02_to_DK02,backward_main_04,backward,main,4,5331.980515339465,89,2,0;1,0:0.674;1:0.202
DB02_to_DK02_forward_backup_01,DB02_to_DK02,forward_backup_01,forward,backup,1,6556.244584051393,111,2,1;0,1:0.054;0:0.297
DB02_to_DK02_forward_main_01,DB02_to_DK02,forward_main_01,forward,main,1,5331.980515339465,89,2,1;0,1:0.112;0:0.719
DB02_to_DK02_forward_main_03,DB02_to_DK02,forward_main_03,forward,main,3,5331.980515339465,89,2,1;0,1:0.112;0:0.719
DB02_to_DK02_forward_main_04,DB02_to_DK02,forward_main_04,forward,main,4,5331.980515339465,89,2,1;0,1:0.112;0:0.719
DB02_to_DK03_backward_backup_01,DB02_to_DK03,backward_backup_01,backward,backup,1,4138.477631085023,73,2,0;1,0:0.342;1:0.068
DB02_to_DK03_backward_main_01,DB02_to_DK03,backward_main_01,backward,main,1,4067.766952966369,72,2,0;1,0:0.319;1:0.181
DB02_to_DK03_backward_main_03,DB02_to_DK03,backward_main_03,backward,main,3,3726.3455967290593,66,2,0;1,0:0.606;1:0.061
DB02_to_DK03_backward_main_04,DB02_to_DK03,backward_main_04,backward,main,4,3726.3455967290593,66,2,0;1,0:0.606;1:0.061
DB02_to_DK03_forward_backup_01,DB02_to_DK03,forward_backup_01,forward,backup,1,3872.792206135786,71,2,1;0,1:0.113;0:0.197
DB02_to_DK03_forward_backup_02,DB02_to_DK03,forward_backup_02,forward,backup,2,4238.477631085023,75,2,1;0,1:0.067;0:0.373
DB02_to_DK03_forward_main_01,DB02_to_DK03,forward_main_01,forward,main,1,3872.792206135786,71,2,1;0,1:0.099;0:0.592
DB02_to_DK03_forward_main_02,DB02_to_DK03,forward_main_02,forward,main,2,4167.766952966369,74,2,1;0,1:0.081;0:0.392
DB02_to_DK03_forward_main_03,DB02_to_DK03,forward_main_03,forward,main,3,3726.3455967290593,66,2,1;0,1:0.091;0:0.682
DB02_to_DK03_forward_main_04,DB02_to_DK03,forward_main_04,forward,main,4,3726.3455967290593,66,2,1;0,1:0.091;0:0.682
DB02_to_DK04_backward_backup_01,DB02_to_DK04,backward_backup_01,backward,backup,1,7186.143571373726,112,2,0;1,0:0.339;1:0.036
DB02_to_DK04_backward_main_01,DB02_to_DK04,backward_main_01,backward,main,1,7186.1435713737255,112,2,0;1,0:0.491;1:0.036
DB02_to_DK04_backward_main_03,DB02_to_DK04,backward_main_03,backward,main,3,4592.031021678297,80,2,0;1,0:0.400;1:0.225
DB02_to_DK04_backward_main_04,DB02_to_DK04,backward_main_04,backward,main,4,4592.031021678297,80,2,0;1,0:0.400;1:0.225
DB02_to_DK04_forward_backup_01,DB02_to_DK04,forward_backup_01,forward,backup,1,4592.031021678298,80,2,1;0,1:0.062;0:0.237
DB02_to_DK04_forward_backup_02,DB02_to_DK04,forward_backup_02,forward,backup,2,6047.665940288703,100,2,1;0,1:0.060;0:0.260
DB02_to_DK04_forward_main_01,DB02_to_DK04,forward_main_01,forward,main,1,4633.452377915607,80,2,1;0,1:0.087;0:0.463
DB02_to_DK04_forward_main_02,DB02_to_DK04,forward_main_02,forward,main,2,5723.401871576773,96,2,1;0,1:0.094;0:0.375
DB02_to_DK04_forward_main_03,DB02_to_DK04,forward_main_03,forward,main,3,4633.452377915607,80,2,1;0,1:0.075;0:0.487
DB02_to_DK04_forward_main_04,DB02_to_DK04,forward_main_04,forward,main,4,4633.452377915607,80,2,1;0,1:0.075;0:0.487
