version,pair,route_key,start_label,end_label,direction,route_type,route_rank,success,message,distance_m,distance_km,total_cost,n_path_nodes,expanded_nodes,runtime_sec,mean_distance_to_main_m,duplicated_from_main,duplicated_from_previous_main,used_full_map_retry,safe_fallback,main_avoid_previous_radius_m,backup_corridor_m,backup_mean_offset_m,backup_min_offset_m,backup_separation_violation_pct,backup_separation_ok,backup_max_offset_m,distance_diff_m,flz_buffer_ok,flz_buffer_min_distance_m,flz_buffer_via,lock_mode,locked_overlap_nodes,locked_overlap_checked_nodes,locked_overlap_percent,mean_flz_support,mean_emergency_risk,mean_other_terminal_avoidance,mean_traffic_penalty_factor,route_file
v15,DK01_to_DK05,backward_backup_04,DK05,DK01,backward,backup,4,False,Skipped because backward_main_04 failed.,,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
v15,DK01_to_DK06,forward_main_01,DK01,DK06,forward,main,1,True,Route forced through FLZ buffer via FLZ03.,1377.8174593052022,1.3778174593052022,93.47940128132777,24,137,0.9621756076812744,,,False,False,True,,,,,,,,,True,0.0,FLZ03,,0,0,0.0,0.8757142421748535,0.12428575782514646,,,output/thetastar_master_plan/route_nodes/DK01_to_DK06_forward_main_01.csv
v15,DK01_to_DK06,forward_backup_01,DK01,DK06,forward,backup,1,True,Path found. [safe fallback attempted],1307.1067811865478,1.3071067811865478,76.97288483910924,23,35,0.4118938446044922,36.95652173913044,False,False,False,True,,50.0,36.95652173913044,16.00659567076309,2.5,True,50.0,-70.71067811865441,True,50.0,,no_lock,0,14,0.0,0.8746984850261726,0.12530151497382724,0.053315639457974295,1.0426525115663794,output/thetastar_master_plan/route_nodes/DK01_to_DK06_forward_backup_01.csv
v15,DK01_to_DK06,forward_main_02,DK01,DK06,forward,main,2,True,Path found. [safe fallback attempted],1519.238815542512,1.5192388155425118,90.94228935963538,26,192,0.5104489326477051,,,False,False,True,50.0,,,,,,,,True,70.71067811865476,,strict_lock,0,16,0.0,0.8600847741946593,0.13991522580534063,0.06136671797684931,1.0490933743814794,output/thetastar_master_plan/route_nodes/DK01_to_DK06_forward_main_02.csv
v15,DK01_to_DK06,forward_backup_02,DK01,DK06,forward,backup,2,True,Path found. [safe fallback attempted],1448.528137423857,1.448528137423857,86.13097805035416,25,43,0.35439038276672363,44.0,False,False,False,True,,50.0,44.0,10.431469882231532,4.444444444444445,True,50.0,-70.71067811865487,True,35.35533905932738,,strict_lock,0,17,0.0,0.8688193439750631,0.13118065602493675,0.059340666047180746,1.0474725328377448,output/thetastar_master_plan/route_nodes/DK01_to_DK06_forward_backup_02.csv
v15,DK01_to_DK06,forward_main_03,DK01,DK06,forward,main,3,True,Path found. [safe fallback attempted],1702.081528017131,1.7020815280171309,103.18979897679938,28,324,0.7776062488555908,,,False,False,True,0.0,,,,,,,,True,0.0,,strict_lock,0,18,0.0,0.8636852629753894,0.13631473702461067,0.07834720723864888,1.0626777657909192,output/thetastar_master_plan/route_nodes/DK01_to_DK06_forward_main_03.csv
v15,DK01_to_DK06,forward_backup_03,DK01,DK06,forward,backup,3,True,Path found. [safe fallback attempted],1902.081528017131,1.902081528017131,116.58636123916057,32,70,0.4556283950805664,45.42354345603981,False,False,False,True,,100.0,45.42354345603981,22.270431530053894,1.5625,True,70.71067811865476,200.0,True,50.0,,strict_lock,0,23,0.0,0.8504057631563786,0.14959423684362144,0.08636405230342759,1.069091241842742,output/thetastar_master_plan/route_nodes/DK01_to_DK06_forward_backup_03.csv
v15,DK01_to_DK06,forward_main_04,DK01,DK06,forward,main,4,True,Path found. [safe fallback attempted],5604.163056034262,5.6041630560342615,350.29535489076073,99,1959,2.701005220413208,,,False,False,True,0.0,,,,,,,,True,50.0,,strict_lock,0,87,0.0,0.7502061986485729,0.2497938013514272,0.048232703147513656,1.0385861625180108,output/thetastar_master_plan/route_nodes/DK01_to_DK06_forward_main_04.csv
v15,DK01_to_DK06,forward_backup_04,DK01,DK06,forward,backup,4,True,Path found. [safe fallback attempted],5945.584412271572,5.945584412271572,377.48545810073716,105,383,0.7170171737670898,51.7210817041574,False,False,False,True,,150.0,51.7210817041574,35.355339059327214,0.0,True,111.80339887498948,341.42135623730974,True,0.0,,strict_lock,0,94,0.0,0.7385753983180963,0.2614246016819036,0.05719539566961377,1.045756316535691,output/thetastar_master_plan/route_nodes/DK01_to_DK06_forward_backup_04.csv
v15,DK01_to_DK06,backward_main_01,DK06,DK01,backward,main,1,True,Route forced through FLZ buffer via FLZ04.,4174.873734152917,4.174873734152917,280.83336366109654,70,1063,2.0042521953582764,,,False,False,True,,,,,,,,,True,0.0,FLZ04,,3,52,5.769230769230769,0.8097522824302488,0.19024771756975126,,,output/thetastar_master_plan/route_nodes/DK01_to_DK06_backward_main_01.csv
v15,DK01_to_DK06,backward_backup_01,DK06,DK01,backward,backup,1,True,Path found. [safe fallback attempted],3233.452377915607,3.233452377915607,196.49688240070628,52,90,0.5774102210998535,45.19230769230769,False,False,False,True,,50.0,45.19230769230769,5.368603630637054,4.273504273504273,True,50.0,-941.4213562373097,True,50.0,,strict_lock,0,44,0.0,0.7720760273446339,0.22792397265536618,0.033386480878045535,1.0267091847024366,output/thetastar_master_plan/route_nodes/DK01_to_DK06_backward_backup_01.csv
v15,DK01_to_DK06,backward_main_02,DK06,DK01,backward,main,2,True,Path found. [safe fallback attempted],1407.1067811865476,1.4071067811865476,83.58127583835059,25,102,0.5202505588531494,,,False,False,True,0.0,,,,,,,,True,50.0,,strict_lock,0,15,0.0,0.8711163502113919,0.12888364978860803,0.06047716412122779,1.048381731296982,output/thetastar_master_plan/route_nodes/DK01_to_DK06_backward_main_02.csv
v15,DK01_to_DK06,backward_backup_02,DK06,DK01,backward,backup,2,True,Path found. [safe fallback attempted],1660.6601717798217,1.6606601717798217,100.54007822322669,28,80,0.4741251468658447,68.53250643076919,False,False,False,True,,150.0,68.53250643076919,50.0,0.0,True,111.80339887498948,253.55339059327412,True,0.0,,strict_lock,0,17,0.0,0.8620406830547968,0.1379593169452033,0.07512855496697322,1.0601028439735785,output/thetastar_master_plan/route_nodes/DK01_to_DK06_backward_backup_02.csv
v15,DK01_to_DK06,backward_main_03,DK06,DK01,backward,main,3,True,Path found. [safe fallback attempted],5033.452377915607,5.033452377915607,308.6857291569672,88,1848,2.5026955604553223,,,False,False,True,0.0,,,,,,,,True,50.0,,strict_lock,0,76,0.0,0.7720559513665982,0.22794404863340179,0.038168043438341195,1.030534434750673,output/thetastar_master_plan/route_nodes/DK01_to_DK06_backward_main_03.csv
v15,DK01_to_DK06,backward_backup_03,DK06,DK01,backward,backup,3,True,Path found. [safe fallback attempted],5604.163056034262,5.6041630560342615,350.33734299288324,99,394,0.7199645042419434,58.822769171672675,False,False,False,True,,200.0,58.822769171672675,35.35533905932706,0.0,True,180.27756377319946,570.7106781186549,True,0.0,,strict_lock,0,88,0.0,0.7500856991414289,0.24991430085857122,0.04822260350632719,1.0385780828050617,output/thetastar_master_plan/route_nodes/DK01_to_DK06_backward_backup_03.csv
v15,DK01_to_DK06,backward_main_04,DK06,DK01,backward,main,4,True,Path found. [safe fallback attempted],5945.584412271572,5.945584412271572,377.48676135196575,105,1889,2.0941050052642822,,,False,False,True,0.0,,,,,,,,True,0.0,,strict_lock,0,94,0.0,0.7385017518561386,0.2614982481438613,0.05719953272415047,1.0457596261793205,output/thetastar_master_plan/route_nodes/DK01_to_DK06_backward_main_04.csv
v15,DK01_to_DK06,backward_backup_04,DK06,DK01,backward,backup,4,True,Path found. [safe fallback attempted],6328.42712474619,6.32842712474619,407.1714235651633,111,396,0.7428407669067383,51.489700806020394,False,False,False,True,,150.0,51.489700806020394,17.257274708124726,0.4149377593360996,True,150.0,382.84271247461857,True,100.0,,strict_lock,0,103,0.0,0.7243640280542596,0.27563597194574047,0.06486994295493442,1.0518959543639474,output/thetastar_master_plan/route_nodes/DK01_to_DK06_backward_backup_04.csv
v15,DK02_to_DK03,forward_main_01,DK02,DK03,forward,main,1,True,Route forced through FLZ buffer via FLZ03.,3388.477631085024,3.3884776310850238,333.0021886758182,58,1256,1.7415080070495605,,,False,False,True,,,,,,,,,True,0.0,FLZ03,,0,0,0.0,0.5508550188915242,0.44914498110847584,,,output/thetastar_master_plan/route_nodes/DK02_to_DK03_forward_main_01.csv
v15,DK02_to_DK03,forward_backup_01,DK02,DK03,forward,backup,1,True,Path found. [safe fallback attempted],3417.766952966369,3.417766952966369,340.7136947563592,59,82,0.41707754135131836,45.76271186440678,False,False,False,True,,50.0,45.76271186440678,23.482360019742377,0.8064516129032258,True,50.0,29.28932188134513,True,50.0,,no_lock,0,52,0.0,0.5344839250926363,0.4655160749073637,0.5770952159840773,1.4616761727872618,output/thetastar_master_plan/route_nodes/DK02_to_DK03_forward_backup_01.csv
v15,DK02_to_DK03,forward_main_02,DK02,DK03,forward,main,2,False,"Rank skipped: 7 candidate main(s) tried, none had a viable backup; no new distinct main exists under the lock/overlap limits.",,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
v15,DK02_to_DK03,forward_backup_02,DK02,DK03,forward,backup,2,False,Rank skipped: no main+backup couple found.,,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
v15,DK02_to_DK03,forward_main_03,DK02,DK03,forward,main,3,False,"Path found. [safe fallback attempted] Overlap with locked routes = 18/52 nodes (34.62%), exceeds limit 10.00%.",3057.106781186548,3.057106781186548,309.29475078888294,58,1106,1.6051013469696045,,,False,False,True,0.0,,,,,,,,,,,soft_lock,18,52,34.61538461538461,0.5049873632879491,0.49501263671205087,0.5726500114415767,1.4581200091532618,output/thetastar_master_plan/route_nodes/DK02_to_DK03_forward_main_03.csv
v15,DK02_to_DK03,forward_backup_03,DK02,DK03,forward,backup,3,False,Skipped because forward_main_03 failed.,,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
v15,DK02_to_DK03,forward_main_04,DK02,DK03,forward,main,4,False,"Path found. [safe fallback attempted] Overlap with locked routes = 18/52 nodes (34.62%), exceeds limit 10.00%.",3057.106781186548,3.057106781186548,309.29475078888294,58,1106,1.2986409664154053,,,False,False,True,0.0,,,,,,,,,,,soft_lock,18,52,34.61538461538461,0.5049873632879491,0.49501263671205087,0.5726500114415767,1.4581200091532618,output/thetastar_master_plan/route_nodes/DK02_to_DK03_forward_main_04.csv
v15,DK02_to_DK03,forward_backup_04,DK02,DK03,forward,backup,4,False,Skipped because forward_main_04 failed.,,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
v15,DK02_to_DK03,backward_main_01,DK03,DK02,backward,main,1,True,Route forced through FLZ buffer via FLZ04.,5912.741699796952,5.912741699796952,430.3122883952975,106,2971,3.3517844676971436,,,False,False,True,,,,,,,,,True,0.0,FLZ04,,0,97,0.0,0.4886599170818979,0.5113400829181021,,,output/thetastar_master_plan/route_nodes/DK02_to_DK03_backward_main_01.csv
