pair,direction,route_type,edge_seq,from_node_id,to_node_id,x1,y1,x2,y2,edge_distance_m,route_rank,route_key
DB01_to_DK03,forward,main,49,3046,2946,800.0,1500.0,850.0,1450.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,50,2946,2846,850.0,1450.0,900.0,1400.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,51,2846,2746,900.0,1400.0,950.0,1350.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,52,2746,2646,950.0,1350.0,1000.0,1300.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,53,2646,2546,1000.0,1300.0,1050.0,1250.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,backup,0,7798,7797,1050.0,3850.0,1000.0,3850.0,50.0,1,forward_backup_01
DB01_to_DK03,forward,backup,1,7797,7796,1000.0,3850.0,950.0,3850.0,50.0,1,forward_backup_01
DB01_to_DK03,forward,backup,2,7796,7795,950.0,3850.0,900.0,3850.0,50.0,1,forward_backup_01
DB01_to_DK03,forward,backup,3,7795,7794,900.0,3850.0,850.0,3850.0,50.0,1,forward_backup_01
DB01_to_DK03,forward,backup,4,7794,7793,850.0,3850.0,800.0,3850.0,50.0,1,forward_backup_01
DB01_to_DK03,forward,backup,5,7793,7792,800.0,3850.0,750.0,3850.0,50.0,1,forward_backup_01
DB01_to_DK03,forward,backup,6,7792,7791,750.0,3850.0,700.0,3850.0,50.0,1,forward_backup_01
DB01_to_DK03,forward,backup,7,7791,7689,700.0,3850.0,650.0,3800.0,70.71067811865476,1,forward_backup_01
DB01_to_DK03,forward,backup,8,7689,7587,650.0,3800.0,600.0,3750.0,70.71067811865476,1,forward_backup_01
DB01_to_DK03,forward,backup,9,7587,7486,600.0,3750.0,600.0,3700.0,50.0,1,forward_backup_01
DB01_to_DK03,forward,backup,10,7486,7385,600.0,3700.0,600.0,3650.0,50.0,1,forward_backup_01
DB01_to_DK03,forward,backup,11,7385,7284,600.0,3650.0,600.0,3600.0,50.0,1,forward_backup_01
DB01_to_DK03,forward,backup,12,7284,7183,600.0,3600.0,600.0,3550.0,50.0,1,forward_backup_01
DB01_to_DK03,forward,backup,13,7183,7082,600.0,3550.0,600.0,3500.0,50.0,1,forward_backup_01
DB01_to_DK03,forward,backup,14,7082,6981,600.0,3500.0,600.0,3450.0,50.0,1,forward_backup_01
DB01_to_DK03,forward,backup,15,6981,6879,600.0,3450.0,550.0,3400.0,70.71067811865476,1,forward_backup_01
DB01_to_DK03,forward,backup,16,6879,6878,550.0,3400.0,500.0,3400.0,50.0,1,forward_backup_01
DB01_to_DK03,forward,backup,17,6878,6776,500.0,3400.0,450.0,3350.0,70.71067811865476,1,forward_backup_01
