leg_id,lane,seq,x,y
DK01__RBT03,B,0,2075.0109246319025,3549.2610059218514
DK01__RBT03,B,1,2109.960420894934,2367.4442336117017
DK01__RBT04,A,0,2114.4307951178794,3570.414508376784
DK01__RBT04,A,1,2846.5531355086905,3052.8851463953315
DK01__RBT04,B,0,2085.5692048821206,3529.585491623216
DK01__RBT04,B,1,2858.679639705055,2983.0820891160115
DK01__RBT10,A,0,2118.0065407584866,3532.6574370431313
DK01__RBT10,A,1,1717.1840135557886,3116.489008481285
DK01__RBT10,B,0,2081.9934592415134,3567.3425629568687
DK01__RBT10,B,1,1646.111749598317,3114.7726752136955
DK01__RBT11,A,0,2101.878550353598,3574.9293210611318
DK01__RBT11,A,1,2774.914397023034,3524.2126679824387
DK01__RBT11,B,0,2098.121449646402,3525.0706789388682
DK01__RBT11,B,1,2821.2684047842868,3470.577900537639
DK01__RBT12,A,0,2088.53828547475,3572.217765417379
DK01__RBT12,A,1,2821.4123765201357,3950.293303470537
DK01__RBT12,B,0,2111.46171452525,3527.782234582621
DK01__RBT12,B,1,2889.0622147196123,3928.931260170404
DK02__DK05,A,0,257.0451963169994,4034.327854089209
DK02__DK05,A,1,654.8761709781041,4531.202770405473
DK02__DK05,B,0,296.075948624925,4003.077248106646
DK02__DK05,B,1,693.9069232860298,4499.95216442291
DK02__MAJ011,A,0,276.5605724709622,4018.7025510979274
DK02__MAJ011,A,1,450.0,3800.0
DK02__MAJ011,A,2,450.0,3600.0
DK02__MAJ011,A,3,500.0,3550.0
DK02__MAJ011,A,4,550.0,3500.0
DK02__MAJ011,A,5,600.0,3450.0
DK02__MAJ011,A,6,650.0,3400.0
DK02__MAJ011,A,7,671.1981010430276,3291.6774914296802
DK02__MAJ011,B,0,300.0,4000.0
DK02__MAJ011,B,1,300.0,3950.0
DK02__MAJ011,B,2,350.0,3900.0
DK02__MAJ011,B,3,350.0,3850.0
DK02__MAJ011,B,4,400.0,3800.0
DK02__MAJ011,B,5,400.0,3750.0
DK02__MAJ011,B,6,400.0,3700.0
DK02__MAJ011,B,7,400.0,3650.0
DK02__MAJ011,B,8,400.0,3600.0
DK02__MAJ011,B,9,400.0,3550.0
DK02__MAJ011,B,10,450.0,3500.0
DK02__MAJ011,B,11,500.0,3500.0
DK02__MAJ011,B,12,550.0,3450.0
DK02__MAJ011,B,13,600.0,3400.0
DK02__MAJ011,B,14,600.0,3350.0
DK02__MAJ011,B,15,650.0,3300.0
DK02__MAJ011,B,16,700.0,3300.0
DK02__MIN010,A,0,253.66776418540636,4028.748412375129
DK02__MIN010,A,1,377.1071917144442,4310.045861277202
DK02__MIN010,B,0,299.4533807565181,4008.6566898207257
DK02__MIN010,B,1,422.8928082855558,4289.954138722798
DK03__EXT07,A,0,3087.655011689058,4571.739394278652
DK03__EXT07,A,1,3915.3822468893723,5041.774709532601
DK03__EXT07,B,0,3112.344988310942,4528.260605721348
DK03__EXT07,B,1,3940.072223511256,4998.295920975297
DK03__MIN012,A,0,3109.465821143013,4526.861326094858
DK03__MIN012,A,1,2009.4658211430126,4076.861326094858
DK03__MIN012,B,0,3090.534178856987,4573.138673905142
DK03__MIN012,B,1,1990.5341788569874,4123.138673905142
DK03__RBT12,A,0,3124.882310295021,4547.577060796821
DK03__RBT12,A,1,3098.965616887468,4281.426260833916
DK03__RBT12,B,0,3075.117689704979,4552.422939203179
DK03__RBT12,B,1,3044.3233964079373,4236.181755715189
DK04__BAK02,A,0,306.66495584007373,1174.0951937873483
DK04__BAK02,A,1,827.2890044071917,1030.0857152330732
DK04__BAK02,B,0,293.33504415992627,1125.9048062126517
DK04__BAK02,B,1,813.9590927270442,981.8953276583767
DK04__EXT03,A,0,324.1904318099211,1143.6894525713249
DK04__EXT03,A,1,24.190431809921094,-6.3105474286750685
DK04__EXT03,B,0,275.8095681900789,1156.3105474286751
DK04__EXT03,B,1,-24.190431809921094,6.3105474286750685
DK04__RBT05,A,0,281.07719584799065,1166.337915504271
DK04__RBT05,A,1,345.4374909757924,1240.8809169998133
DK04__RBT05,B,0,318.92280415200935,1133.662084495729
DK04__RBT05,B,1,416.2672518013412,1246.4077966199163
DK05__DK03,A,0,674.0368003999529,4540.574950382604
DK05__DK03,A,1,3099.645253267886,4574.997482968412
DK05__DK03,B,0,674.7462938641811,4490.579984445779
DK05__DK03,B,1,3100.354746732114,4525.002517031588
DK05__MAJ004,A,0,688.1927287549785,4536.422787891733
DK05__MAJ004,A,1,1013.8011816229115,4320.8453204775415
DK05__MAJ004,A,2,1015.8189133825111,4319.358770089978
DK05__MAJ004,A,3,1017.6776695296637,4317.677669529664
DK05__MAJ004,A,4,1067.6776695296637,4267.677669529664
DK05__MAJ004,B,0,660.5903655091555,4494.73214693665
DK05__MAJ004,B,1,984.1011973791212,4280.543463561551
DK05__MAJ004,B,2,1032.3223304703363,4232.322330470336
DK05__MIN010,A,0,689.8363819908787,4495.918955868705
DK05__MIN010,A,1,415.4448348588118,4280.341488454514
DK05__MIN010,B,0,658.9467122732552,4535.235978959678
DK05__MIN010,B,1,384.5551651411882,4319.658511545486
DK06__DK03,A,0,1618.7800044417193,4337.186430135732
DK06__DK03,A,1,3096.0317256587364,4574.683046788281
DK06__DK03,B,0,1626.716553124247,4287.82033655917
DK06__DK03,B,1,3103.9682743412636,4525.316953211719
DK06__DK05,A,0,1617.5136305113024,4288.0575563524035
DK06__DK05,A,1,669.1568988603863,4491.131640419144
DK06__DK05,B,0,1627.9829270546638,4336.949210342498
DK06__DK05,B,1,679.6261954037477,4540.023294409239
DK06__MAJ004,A,0,1625.4603993286532,4287.650930709014
DK06__MAJ004,A,1,1052.7121205456701,4225.147547361563
DK06__MAJ004,B,0,1620.036158237313,4337.355835985888
DK06__MAJ004,B,1,1047.2878794543299,4274.852452638437
DK06__MAJ009,A,0,1632.2092400332062,4309.26452363734
DK06__MAJ009,A,1,1559.4609612502231,4096.761140289889
DK06__MAJ009,A,2,1559.1270245357666,4095.91375195032
DK06__MAJ009,A,3,1558.7173717847859,4095.100262337041
DK06__MAJ009,A,4,1558.2354013975512,4094.327420003102
DK06__MAJ009,A,5,1557.6851117075068,4093.6016362995574
DK06__MAJ009,A,6,1557.0710678118655,4092.9289321881347
DK06__MAJ009,A,7,1459.8240617232098,3995.681926099479
DK06__MAJ009,A,8,1429.994265339279,3299.893029187193
DK06__MAJ009,B,0,1584.9044337820908,4325.458822187893
DK06__MAJ009,B,1,1515.159291365471,4121.727833860395
DK06__MAJ009,B,2,1421.715728752538,4028.2842712474617
