pair,direction,route_type,edge_seq,from_node_id,to_node_id,x1,y1,x2,y2,edge_distance_m,route_rank,route_key
DK01_to_DK06,forward,main,45,1175,1277,3200.0,550.0,3250.0,600.0,70.71067811865476,1,forward_main_01
DK01_to_DK06,forward,main,46,1277,1378,3250.0,600.0,3250.0,650.0,50.0,1,forward_main_01
DK01_to_DK06,forward,main,47,1378,1480,3250.0,650.0,3300.0,700.0,70.71067811865476,1,forward_main_01
DK01_to_DK06,forward,main,48,1480,1581,3300.0,700.0,3300.0,750.0,50.0,1,forward_main_01
DK01_to_DK06,forward,main,49,1581,1683,3300.0,750.0,3350.0,800.0,70.71067811865476,1,forward_main_01
DK01_to_DK06,forward,main,50,1683,1785,3350.0,800.0,3400.0,850.0,70.71067811865476,1,forward_main_01
DK01_to_DK06,forward,main,51,1785,1886,3400.0,850.0,3400.0,900.0,50.0,1,forward_main_01
DK01_to_DK06,forward,main,52,1886,1988,3400.0,900.0,3450.0,950.0,70.71067811865476,1,forward_main_01
DK01_to_DK06,forward,main,53,1988,2090,3450.0,950.0,3500.0,1000.0,70.71067811865476,1,forward_main_01
DK01_to_DK06,forward,main,54,2090,2191,3500.0,1000.0,3500.0,1050.0,50.0,1,forward_main_01
DK01_to_DK06,forward,main,55,2191,2293,3500.0,1050.0,3550.0,1100.0,70.71067811865476,1,forward_main_01
DK01_to_DK06,forward,main,56,2293,2394,3550.0,1100.0,3550.0,1150.0,50.0,1,forward_main_01
DK01_to_DK06,forward,main,57,2394,2496,3550.0,1150.0,3600.0,1200.0,70.71067811865476,1,forward_main_01
DK01_to_DK06,forward,backup,0,1135,1035,1200.0,550.0,1250.0,500.0,70.71067811865476,1,forward_backup_01
DK01_to_DK06,forward,backup,1,1035,935,1250.0,500.0,1300.0,450.0,70.71067811865476,1,forward_backup_01
DK01_to_DK06,forward,backup,2,935,835,1300.0,450.0,1350.0,400.0,70.71067811865476,1,forward_backup_01
DK01_to_DK06,forward,backup,3,835,836,1350.0,400.0,1400.0,400.0,50.0,1,forward_backup_01
DK01_to_DK06,forward,backup,4,836,837,1400.0,400.0,1450.0,400.0,50.0,1,forward_backup_01
