version,pair,route_key,start_label,end_label,direction,route_type,route_rank,success,message,distance_m,distance_km,total_cost,n_path_nodes,expanded_nodes,runtime_sec,mean_distance_to_main_m,duplicated_from_main,duplicated_from_previous_main,used_full_map_retry,safe_fallback,main_avoid_previous_radius_m,backup_corridor_m,backup_mean_offset_m,backup_min_offset_m,backup_separation_violation_pct,backup_separation_ok,backup_max_offset_m,parallel_buffer_ok,parallel_min_clearance_m,parallel_n_narrow_segments,parallel_n_crossings,parallel_crossing_locations,parallel_final_lambda,parallel_iterations,distance_diff_m,flz_buffer_ok,flz_buffer_min_distance_m,flz_buffer_via,tn_buffer_ok,tn_buffer_min_distance_m,tn_buffer_matched_role,tn_buffer_via,n_waypoints_before_turn_reduction,n_waypoints_after_turn_reduction,max_turn_angle_deg_before,max_turn_angle_deg_after,mean_turn_angle_deg_before,mean_turn_angle_deg_after,turn_reduction_applied,cross_pair_overlap_ok,cross_pair_overlap_percent,cross_pair_overlap_nodes,lock_mode,locked_overlap_nodes,locked_overlap_checked_nodes,locked_overlap_percent,mean_flz_support,mean_emergency_risk,mean_other_terminal_avoidance,mean_traffic_penalty_factor,route_file
v1_corridor,DB02_to_DK06,forward_main_01,DB02,DK06,forward,main,1,True,Path found. [safe fallback attempted],2838.477631085024,2.838477631085024,1114.0284449059945,47,2772,2.0065200328826904,,,False,False,True,200.0,,,,,,,,,,,,,,,True,223.60679774997897,,True,0.0,major,,47,47,90.0,59.03624346792648,47.576869623406985,27.98022720158168,True,,,,strict_lock,0,25,0.0,0.7081874508558889,0.29181254914411103,0.07932209953489439,1.0634576796279156,output/05_master_corridor_theta/route_nodes/DB02_to_DK06_forward_main_01.csv
v1_corridor,DB02_to_DK06,forward_backup_01,DB02,DK06,forward,backup,1,True,"Path found. [safe fallback attempted] Soft buffer: 0 narrow sample(s), 4 crossing(s), min clearance 50.2 m (target 50 m).",2509.188309203679,2.509188309203679,1089.597410836448,40,638,0.6120402812957764,75.39969125720496,False,False,False,True,,,85.74930660661079,,,,180.27756377319946,False,50.24979707750274,0.0,4.0,"(3646,1004);(3632,1018);(3625,1025);(3611,1039)",57.6650390625,8.0,-370.7106781186544,,,,,,,,40,40,,,,,False,,,,,0,0,0.0,0.7622771344839927,0.23772286551600738,0.04915231587322054,1.0393218526985766,output/05_master_corridor_theta/route_nodes/DB02_to_DK06_forward_backup_01.csv
v1_corridor,DB02_to_DK06,backward_main_01,DK06,DB02,backward,main,1,True,Route forced through FLZ buffer via FLZ04.,5216.2950903902265,5.2162950903902265,1405.3983177399189,90,3272,2.547240972518921,,,False,False,True,,,,,,,,,,,,,,,,True,0.0,FLZ04,True,0.0,major,,90,90,180.0,161.565051177078,28.464495308243247,21.98023856256017,True,,,,,2,51,3.9215686274509802,0.6859281808306458,0.3140718191693542,,,output/05_master_corridor_theta/route_nodes/DB02_to_DK06_backward_main_01.csv
v1_corridor,DB02_to_DK06,backward_backup_01,DK06,DB02,backward,backup,1,True,"Path found. [safe fallback attempted] Soft buffer: 10 narrow sample(s), 29 crossing(s), min clearance 1.6 m (target 50 m).",2089.949493661167,2.089949493661167,1027.1871923869646,37,602,0.5784571170806885,43.10742559001576,False,False,False,True,,,73.1680134139954,,,,111.80339887498948,False,1.5617267551344944,10.0,29.0,"(2601,1299);(2594,1306);(2580,1320);(2566,1334);(2550,1398);(2570,1520);(2846,1696);(2854,1754);(2896,1796);(2903,1953);(2949,2004);(2953,2152);(2999,2203);(3003,2301);(3049,2352);(3052,2401);(3099,2452);(3054,2646);(3098,2451);(3052,2400);(3049,2352);(3002,2301);(2999,2203);(2953,2152);(2949,2003);(2903,1952);(2896,1796);(2853,1753);(2846,1696)",57.6650390625,13.0,-3167.7669529663694,,,,,,,,37,37,,,,,False,,,,,0,0,0.0,0.6321782158622706,0.3678217841377293,0.05255301955768179,1.0420424156461454,output/05_master_corridor_theta/route_nodes/DB02_to_DK06_backward_backup_01.csv
v1_corridor,DK01_to_DK02,forward_main_01,DK01,DK02,forward,main,1,True,Route forced through FLZ buffer via FLZ02.,3952.081528017131,3.952081528017131,1865.174560505606,73,3753,3.60408091545105,,,False,False,True,,,,,,,,,,,,,,,,True,0.0,FLZ02,True,0.0,major,,73,73,71.56505117707799,63.43494882292201,46.53886482401336,39.458413544479384,True,,,,,0,0,0.0,0.7070024026276519,0.29299759737234804,,,output/05_master_corridor_theta/route_nodes/DK01_to_DK02_forward_main_01.csv
v1_corridor,DK01_to_DK02,forward_backup_01,DK01,DK02,forward,backup,1,True,"Path found. [safe fallback attempted] Soft buffer: 3 narrow sample(s), 4 crossing(s), min clearance 35.2 m (target 50 m).",3805.634918610405,3.805634918610405,2088.990904790734,68,1078,1.1326055526733398,86.00293385210121,False,False,False,True,,,85.34412854174838,,,,250.0,False,35.22208024863596,3.0,4.0,"(2258,592);(2272,578);(2279,571);(2286,564)",57.6650390625,9.0,-229.28932188134468,,,,,,,,68,68,,,,,False,,,,,0,0,0.0,0.6962851290996486,0.30371487090035143,0.24326827249311395,1.194614617994491,output/05_master_corridor_theta/route_nodes/DK01_to_DK02_forward_backup_01.csv
v1_corridor,DK01_to_DK02,backward_main_01,DK02,DK01,backward,main,1,True,Path found. [safe fallback attempted],5071.320343559642,5.071320343559642,1870.6506738335863,90,6519,5.5226380825042725,,,False,False,True,0.0,,,,,,,,,,,,,,,True,223.60679774997897,,True,0.0,major,,90,90,63.43494882292195,63.43494882292195,39.151065915441464,34.172567604447444,True,,,,strict_lock,0,70,0.0,0.7122133790983077,0.28778662090169216,0.19777568326368977,1.1582205466109519,output/05_master_corridor_theta/route_nodes/DK01_to_DK02_backward_main_01.csv
v1_corridor,DK01_to_DK02,backward_backup_01,DK02,DK01,backward,backup,1,True,Path found. [safe fallback attempted],4759.188309203679,4.759188309203679,2237.6454830070757,85,1437,1.3963260650634766,72.8029700513976,False,False,False,True,,,75.29864104382071,,,,206.15528128088303,True,50.0,0.0,0.0,,2.25,6.0,-353.55339059327434,,,,,,,,85,85,,,,,False,,,,,0,0,0.0,0.7374468168902943,0.26255318310970577,0.19342458081919958,1.1547396646553596,output/05_master_corridor_theta/route_nodes/DK01_to_DK02_backward_backup_01.csv
v1_corridor,DK01_to_DK03,forward_main_01,DK01,DK03,forward,main,1,True,Route forced through FLZ buffer via FLZ02.,3947.0562748477146,3.9470562748477147,1911.0083376743555,70,4365,3.161803960800171,,,False,False,True,,,,,,,,,,,,,,,,True,0.0,FLZ02,True,0.0,major,,70,70,81.86989764584402,45.0,45.580721596725425,29.864943442725302,True,,,,,0,0,0.0,0.5902443273256724,0.4097556726743275,,,output/05_master_corridor_theta/route_nodes/DK01_to_DK03_forward_main_01.csv
v1_corridor,DK01_to_DK03,forward_backup_01,DK01,DK03,forward,backup,1,True,"Path found. [safe fallback attempted] Soft buffer: 3 narrow sample(s), 2 crossing(s), min clearance 35.2 m (target 50 m).",3488.477631085024,3.488477631085024,2372.181699902649,60,1148,0.9291508197784424,76.59390588735772,False,False,False,True,,,79.97292479449122,,,,250.0,False,35.206516607659886,3.0,2.0,"(2286,564);(2293,557)",57.6650390625,8.0,-665.685424949238,,,,,,,,60,60,,,,,False,,,,,0,0,0.0,0.5558219196508551,0.44417808034914485,0.43746363296705754,1.3499709063736456,output/05_master_corridor_theta/route_nodes/DK01_to_DK03_forward_backup_01.csv
v1_corridor,DK01_to_DK03,backward_main_01,DK03,DK01,backward,main,1,True,Route forced through FLZ buffer via FLZ01.,4195.584412271572,4.195584412271572,1764.6348747178176,70,5532,3.910733222961426,,,False,False,True,,,,,,,,,,,,,,,,True,0.0,FLZ01,True,0.0,major,,70,70,153.434948822922,153.434948822922,48.75,47.05635135891277,True,,,,,0,45,0.0,0.554512670696396,0.4454873293036039,,,output/05_master_corridor_theta/route_nodes/DK01_to_DK03_backward_main_01.csv
v1_corridor,DK01_to_DK03,backward_backup_01,DK03,DK01,backward,backup,1,True,"Path found. [safe fallback attempted] Soft buffer: 0 narrow sample(s), 24 crossing(s), min clearance 106.0 m (target 50 m).",803.5533905932738,0.8035533905932738,706.122930940194,15,774,0.690800666809082,127.16251680776347,False,False,False,True,,,127.16251680776347,,,,250.0,False,105.95450674849322,0.0,24.0,"(933,1367);(919,1381);(912,1388);(898,1402);(891,1409);(877,1423);(870,1430);(849,1451);(835,1465);(827,1473);(806,1494);(785,1515);(771,1529);(764,1536);(750,1550);(743,1557);(729,1571);(722,1578);(707,1593);(699,2348);(603,2448);(600,2495);(601,2453);(650,2394)",57.6650390625,6.0,-3392.0310216782977,,,,,,,,15,15,,,,,False,,,,,0,0,0.0,0.19871441546935206,0.8012855845306479,0.20506711829819582,1.1640536946385567,output/05_master_corridor_theta/route_nodes/DK01_to_DK03_backward_backup_01.csv
v1_corridor,DK01_to_DK04,forward_main_01,DK01,DK04,forward,main,1,True,Route forced through FLZ buffer via FLZ01.,3595.584412271571,3.595584412271571,1689.358034382861,58,3784,3.479733943939209,,,False,False,True,,,,,,,,,,,,,,,,True,0.0,FLZ01,True,0.0,minor,,66,58,104.03624346792648,45.0,57.21582050907744,39.549647628412046,True,,,,,0,0,0.0,0.5829575211676686,0.4170424788323314,,,output/05_master_corridor_theta/route_nodes/DK01_to_DK04_forward_main_01.csv
