node_id,model_row,name,role,label,label_prefix,x,y,x_m,y_m,route_hit_count,nofly,ra,is_outer_zone_node,outer_boundary_distance_m,outer_radial_score
8425,8425,MAJ008,TN_major,NONE,NONE,2100.0,4150.0,2100.0,4150.0,19.0,False,False,False,850.0,0.5956250756719622
8943,8943,MAJ009,TN_major,NONE,NONE,2750.0,4400.0,2750.0,4400.0,12.0,False,False,True,600.0,0.6723094525588644
5615,5615,MAJ010,TN_major,NONE,NONE,3000.0,2750.0,3000.0,2750.0,16.0,False,False,False,2000.0,0.19611613513818404
4479,4479,MAJ011,TN_major,NONE,NONE,1750.0,2200.0,1750.0,2200.0,16.0,False,False,False,1750.0,0.2833861187632385
3204,3204,MAJ012,TN_major,NONE,NONE,3650.0,1550.0,3650.0,1550.0,16.0,False,False,False,1350.0,0.5233031185136907
9105,9105,MAJ013,TN_major,NONE,NONE,750.0,4500.0,750.0,4500.0,60.0,False,False,True,500.0,0.9323254631461961
2431,2431,MAJ014,TN_major,NONE,NONE,350.0,1200.0,350.0,1200.0,29.0,False,False,True,350.0,0.8814324006542289
3058,3058,MAJ015,TN_major,NONE,NONE,1400.0,1500.0,1400.0,1500.0,48.0,False,False,False,1400.0,0.5215361924162119
6291,6291,MAJ016,TN_major,NONE,NONE,1450.0,3100.0,1450.0,3100.0,13.0,False,False,False,1450.0,0.4242640687119285
6728,6728,MAJ017,TN_major,NONE,NONE,3100.0,3300.0,3100.0,3300.0,18.0,False,False,False,1700.0,0.35082320772281167
2811,2811,MAJ018,TN_major,NONE,NONE,4200.0,1350.0,4200.0,1350.0,59.0,False,False,False,800.0,0.7200427337745576
9151,9151,MAJ019,TN_major,NONE,NONE,3050.0,4500.0,3050.0,4500.0,39.0,False,False,True,500.0,0.7276939339711864
4046,4046,MAJ020,TN_major,NONE,NONE,300.0,2000.0,300.0,2000.0,15.0,False,False,True,300.0,0.7914932333643405
7885,7885,MAJ021,TN_major,NONE,NONE,350.0,3900.0,350.0,3900.0,22.0,False,False,True,350.0,0.9000854660274469
3996,3996,MAJ022,TN_major,NONE,NONE,2850.0,1950.0,2850.0,1950.0,10.0,False,False,False,1950.0,0.22870874995874624
5292,5292,MIN001,TN_minor,NONE,NONE,2000.0,2600.0,2000.0,2600.0,6.0,False,False,False,2000.0,0.17888543819998318
5701,5701,MIN002,TN_minor,NONE,NONE,2250.0,2800.0,2250.0,2800.0,6.0,False,False,False,2200.0,0.13700084222088116
6708,6708,MIN003,TN_minor,NONE,NONE,2100.0,3300.0,2100.0,3300.0,6.0,False,False,False,1700.0,0.3137858162210944
9312,9312,MIN004,TN_minor,NONE,NONE,1000.0,4600.0,1000.0,4600.0,6.0,False,False,True,400.0,0.905368603217666
8533,8533,MIN005,TN_minor,NONE,NONE,2450.0,4200.0,2450.0,4200.0,6.0,False,False,False,800.0,0.5966573556070519
4103,4103,MIN006,TN_minor,NONE,NONE,3150.0,2000.0,3150.0,2000.0,6.0,False,False,False,1850.0,0.28769642119642497
5693,5693,MIN007,TN_minor,NONE,NONE,1850.0,2800.0,1850.0,2800.0,6.0,False,False,False,1850.0,0.2511511956509924
3008,3008,MIN008,TN_minor,NONE,NONE,3950.0,1450.0,3950.0,1450.0,6.0,False,False,False,1050.0,0.6280617314098499
8489,8489,MIN009,TN_minor,NONE,NONE,250.0,4200.0,250.0,4200.0,6.0,False,False,True,250.0,0.9893276660284148
2739,2739,MIN010,TN_minor,NONE,NONE,600.0,1350.0,600.0,1350.0,6.0,False,False,True,600.0,0.7791514121638509
3865,3865,MIN011,TN_minor,NONE,NONE,1350.0,1900.0,1350.0,1900.0,6.0,False,False,False,1350.0,0.4550570547490974
7208,7208,MIN012,TN_minor,NONE,NONE,1850.0,3550.0,1850.0,3550.0,6.0,False,False,False,1450.0,0.43323470277934534
7231,7231,MIN013,TN_minor,NONE,NONE,3000.0,3550.0,3000.0,3550.0,6.0,False,False,False,1450.0,0.40799698339759627
3615,3615,MIN014,TN_minor,NONE,NONE,4000.0,1750.0,4000.0,1750.0,6.0,False,False,False,1000.0,0.5883484054145521
8141,8141,MIN015,TN_minor,NONE,NONE,3050.0,4000.0,3050.0,4000.0,6.0,False,False,False,1000.0,0.5604942873516608
4354,4354,MIN016,TN_minor,NONE,NONE,550.0,2150.0,550.0,2150.0,5.0,False,False,True,550.0,0.6950373537277856
6073,6073,MIN017,TN_minor,NONE,NONE,650.0,3000.0,650.0,3000.0,4.0,False,False,True,650.0,0.6723094525588644
3476,3476,MIN018,TN_minor,NONE,NONE,2100.0,1700.0,2100.0,1700.0,6.0,False,False,False,1700.0,0.3137858162210944
477,477,MIN019,TN_minor,NONE,NONE,3650.0,200.0,3650.0,200.0,3.0,False,False,True,200.0,0.9021342216356465
1555,1555,MIN020,TN_minor,NONE,NONE,2000.0,750.0,2000.0,750.0,3.0,False,False,False,750.0,0.6385078759829887
589,589,MIN021,TN_minor,NONE,NONE,4200.0,250.0,4200.0,250.0,3.0,False,False,True,250.0,0.9893276660284148
1955,1955,MIN022,TN_minor,NONE,NONE,1800.0,950.0,1800.0,950.0,2.0,False,False,False,950.0,0.5966573556070519
