edge_id,u,v,u_name,v_name,u_role,v_role,x1,y1,x2,y2,distance_m,nofly_clearance_m,route_hit_density,nearest_flz_distance_m,emergency_support,is_tn_edge,is_flz_edge,u_is_outer_zone,v_is_outer_zone,is_outer_zone_edge,edge_cost,aco_initial_desirability,edge_cost_distance_component,edge_cost_density_component,edge_cost_clearance_risk_component,edge_cost_outer_zone_component
63,9253,7208,DK03,MIN012,DK,TN_minor,3100.0,4550.0,1850.0,3550.0,1600.7810593582121,289.0764560264877,13.058823529411764,39.770923480020194,0.9987650394777351,1,0,False,False,0,1.4361839827750884,0.6962896202669903,0.7186676761512872,0.6010965951397822,0.5182059066225205,0.0
64,9253,7231,DK03,MIN013,DK,TN_minor,3100.0,4550.0,3000.0,3550.0,1004.987562112089,383.69548110737765,10.863636363636363,691.550887777239,0.68823353723677,1,0,False,False,0,1.4174034076427964,0.7055154479013449,0.4511872948531819,0.5000523067266451,0.36050753148770387,0.0
65,9253,8141,DK03,MIN015,DK,TN_minor,3100.0,4550.0,3050.0,4000.0,552.268050859363,380.28680697015443,14.76923076923077,700.0,0.6819407511903481,1,0,False,False,0,1.2855319308677988,0.7778881068515736,0.24793971318152905,0.6798265026113129,0.36618865504974263,0.0
66,2329,2431,DK04,MAJ014,DK,TN_major,300.0,1150.0,350.0,1200.0,70.71067811865476,403.11288741492746,41.333333333333336,2797.320146139873,0.002213276571272871,1,0,False,True,1,0.9219318786835469,1.0846788392087372,0.0317454272872201,1.9025700038358273,0.3281451876417876,1.0
67,2329,4046,DK04,MAJ020,DK,TN_major,300.0,1150.0,300.0,2000.0,850.0,450.0,24.38888888888889,2623.451924468981,0.0046218827974106305,1,0,False,True,1,1.320023216890734,0.7575624331483072,0.38160591740978256,1.1226185909730217,0.25,1.0
68,2329,2739,DK04,MIN010,DK,TN_minor,300.0,1150.0,600.0,1350.0,360.5551275463989,150.0,16.22222222222222,2507.9872407968905,0.007342598352649535,1,0,False,True,1,1.9516845224730888,0.5123778912448637,0.16187055320487614,0.7467075821506203,0.75,1.0
69,2329,4354,DK04,MIN016,DK,TN_minor,300.0,1150.0,550.0,2150.0,1030.7764064044152,376.0171390892826,7.045454545454546,2358.495283014151,0.012962390861737843,1,0,False,True,1,1.8586059816982015,0.538037652868363,0.46276514848272443,0.32430170519928875,0.37330476818452907,1.0
70,2329,6073,DK04,MIN017,DK,TN_minor,300.0,1150.0,650.0,3000.0,1882.817038376273,111.80339887498948,5.3076923076923075,1972.308292331602,0.04787975573086149,1,0,False,True,1,2.4171285746993405,0.4137140284829023,0.8452872038168794,0.24431264937594058,0.8136610018750176,1.0
71,9104,8719,DK05,DK06,DK,DK,700.0,4500.0,1650.0,4300.0,970.8243919473799,127.30377056474015,18.80952380952381,761.5773105863908,0.635638673826052,0,0,False,False,0,4.060002806025029,0.2463052484880069,0.43584980321514616,0.865800865800866,0.7878270490587664,0.0
72,9104,8127,DK05,FLZ03,DK,FLZ,700.0,4500.0,2350.0,4000.0,1724.0939649566667,107.70329614269008,12.083333333333334,0.0,1.0,0,1,False,False,0,7.5732369127081105,0.13204393465124153,0.7740287755270098,0.5561948599923285,0.8204945064288498,0.0
73,9104,8026,DK05,MAJ004,DK,TN_major,700.0,4500.0,2350.0,3950.0,1739.2527130926087,80.62257748298549,12.222222222222221,50.0,0.9980487811074755,1,0,False,False,0,1.8187612360378484,0.5498247819370118,0.7808342672790097,0.5625879043600563,0.8656290375283575,0.0
74,9104,8413,DK05,MAJ006,DK,TN_major,700.0,4500.0,1500.0,4150.0,873.212459828649,97.53916592266384,16.42105263157895,863.1338250816034,0.5587622272904076,1,0,False,False,0,1.8163724963098147,0.5505478650616125,0.3920271080312524,0.755859729877052,0.8374347234622269,0.0
75,9104,8722,DK05,MAJ007,DK,TN_major,700.0,4500.0,1800.0,4300.0,1118.033988749895,131.31946356990403,16.458333333333332,626.4982043070834,0.7359150228524268,1,0,False,True,1,1.6981156309965002,0.5888880484617958,0.5019392776143791,0.7575757575757577,0.7811342273834933,1.0
76,9104,8425,DK05,MAJ008,DK,TN_major,700.0,4500.0,2100.0,4150.0,1443.0869689661813,122.30446793771209,11.4,291.547594742265,0.9357506383666208,1,0,False,False,0,1.7661231364614072,0.5662119358243579,0.6478712078758142,0.5247410817031072,0.7961592201038132,0.0
77,9104,8943,DK05,MAJ009,DK,TN_major,700.0,4500.0,2750.0,4400.0,2052.437575177379,145.25760993018633,11.418604651162791,419.1558301841028,0.87174435380825,1,0,False,True,1,1.8278345618208791,0.5470954652503153,0.921438028002204,0.5255974522974819,0.7579039834496895,1.0
78,9104,9105,DK05,MAJ013,DK,TN_major,700.0,4500.0,750.0,4500.0,50.0,150.0,66.5,1676.305461424021,0.11132376739130583,1,0,False,True,1,0.7076971208204033,1.4130338679924859,0.022447406906457797,3.060989643268125,0.75,1.0
79,9104,9151,DK05,MAJ019,DK,TN_major,700.0,4500.0,3050.0,4500.0,2350.0,150.0,13.666666666666666,500.0,0.8225775623986646,1,0,False,True,1,1.8261724414828382,0.5475934130229276,1.0550281246035165,0.6290755657844267,0.75,1.0
80,9104,9312,DK05,MIN004,DK,TN_minor,700.0,4500.0,1000.0,4600.0,316.22776601683796,150.0,21.5,1477.3286702694156,0.18175818576240846,1,0,False,True,1,1.7380337141746602,0.5753628320581052,0.14196986677800177,0.989643268124281,0.75,1.0
81,9104,8533,DK05,MIN005,DK,TN_minor,700.0,4500.0,2450.0,4200.0,1775.5280904564704,133.13787757225379,15.027027027027026,214.57771477721673,0.9646677290880186,1,0,False,False,0,1.6874452330648955,0.5926118255012678,0.7971200304064481,0.6916928435915779,0.778103537379577,0.0
82,9104,8489,DK05,MIN009,DK,TN_minor,700.0,4500.0,250.0,4200.0,540.8326913195984,110.968687415761,11.25,1724.0939649566667,0.09805118654354501,1,0,False,True,1,2.106051729350978,0.4748221451845202,0.24280582980731427,0.517836593785961,0.8150521876403983,1.0
83,9104,8141,DK05,MIN015,DK,TN_minor,700.0,4500.0,3050.0,4000.0,2402.6027553467925,127.19542268436125,12.8,145.68627181693694,0.9835550859023376,1,0,False,False,0,1.8095415842860618,0.5526261505587565,1.0786440336769225,0.5891829689298046,0.7880076288593979,0.0
84,8719,8127,DK06,FLZ03,DK,FLZ,1650.0,4300.0,2350.0,4000.0,761.5773105863908,184.5602882529175,17.470588235294116,0.0,1.0,0,1,False,False,0,7.213124456292689,0.13863617716003857,0.3419087156291701,0.8041697691734924,0.6923995195784709,0.0
85,8719,8026,DK06,MAJ004,DK,TN_major,1650.0,4300.0,2350.0,3950.0,782.6237921249264,178.97276329095442,15.294117647058824,50.0,0.9980487811074755,1,0,False,False,0,1.4767755169755945,0.6771509877465867,0.3513574943300653,0.703987003316862,0.7017120611817427,0.0
86,8719,8413,DK06,MAJ006,DK,TN_major,1650.0,4300.0,1500.0,4150.0,212.13203435596427,111.80339887498948,27.166666666666668,761.5773105863908,0.635638673826052,1,0,False,False,0,1.4326529706871212,0.6980057421165892,0.0952362818616603,1.2504794783275799,0.8136610018750176,0.0
87,8719,8722,DK06,MAJ007,DK,TN_major,1650.0,4300.0,1800.0,4300.0,150.0,200.0,39.75,626.4982043070834,0.7359150228524268,1,0,False,True,1,0.9389420358219367,1.0650284701809245,0.0673422207193734,1.829689298043729,0.6666666666666667,1.0
88,8719,8425,DK06,MAJ008,DK,TN_major,1650.0,4300.0,2100.0,4150.0,474.3416490252569,190.3943276465977,13.909090909090908,291.547594742265,0.9357506383666208,1,0,False,False,0,1.4861643088032637,0.6728731097069958,0.21295480016700266,0.6402343341353699,0.6826761205890038,0.0
89,8719,8943,DK06,MAJ009,DK,TN_major,1650.0,4300.0,2750.0,4400.0,1104.536101718726,200.0,13.666666666666666,362.1506856166745,0.90261120792287,1,0,False,True,1,1.5630351108272873,0.639780893642701,0.4958794263630581,0.6290755657844267,0.6666666666666667,1.0
